VPNID,Language,Time,total_score_arg
AA_PLF_1,P,1,18
AA_PLF_1,Sco,1,15
AA_PLF_1,Sco,2,16
AA_PLF_10,P,1,16
AA_PLF_10,P,2,15
AA_PLF_10,P,3,21
AA_PLF_10,Sco,1,12
AA_PLF_10,Sco,2,13
AA_PLF_11,P,1,9
AA_PLF_11,P,2,4
AA_PLF_11,P,3,14
AA_PLF_11,Sco,1,9
AA_PLF_11,Sco,2,1
AA_PLF_11,Sco,3,15
AA_PLF_12,P,1,8
AA_PLF_12,P,2,7
AA_PLF_12,P,3,11
AA_PLF_12,Sco,1,7
AA_PLF_12,Sco,2,5
AA_PLF_12,Sco,3,13
AA_PLF_13,P,2,20
AA_PLF_13,P,3,19
AA_PLF_13,Sco,1,17
AA_PLF_13,Sco,2,21
AA_PLF_13,Sco,3,22
AA_PLF_2,P,1,21
AA_PLF_2,P,2,20
AA_PLF_2,P,3,22
AA_PLF_2,Sco,1,17
AA_PLF_2,Sco,2,14
AA_PLF_3,P,1,8
AA_PLF_3,P,2,11
AA_PLF_3,Sco,1,6
AA_PLF_4,P,1,20
AA_PLF_4,P,2,21
AA_PLF_4,P,3,19
AA_PLF_4,Sco,1,16
AA_PLF_4,Sco,3,21
AA_PLF_5,P,1,18
AA_PLF_5,P,2,20
AA_PLF_5,P,3,20
AA_PLF_5,Sco,1,10
AA_PLF_5,Sco,2,14
AA_PLF_6,P,1,10
AA_PLF_6,P,2,20
AA_PLF_6,P,3,21
AA_PLF_6,Sco,1,16
AA_PLF_6,Sco,2,18
AA_PLF_6,Sco,3,21
AA_PLF_7,P,1,12
AA_PLF_7,P,2,10
AA_PLF_7,P,3,19
AA_PLF_7,Sco,1,8
AA_PLF_7,Sco,2,8
AA_PLF_7,Sco,3,18
AA_PLF_8,P,1,17
AA_PLF_8,P,2,14
AA_PLF_8,P,3,19
AA_PLF_8,Sco,1,14
AA_PLF_8,Sco,2,9
AA_PLF_8,Sco,3,21
AA_PLF_9,P,1,8
AA_PLF_9,P,3,18
AA_PLF_9,Sco,1,8
AA_PLF_9,Sco,3,16
AB_PLD_1,P,1,7
AB_PLD_1,P,2,12
AB_PLD_1,P,3,13
AB_PLD_1,Sco,1,11
AB_PLD_1,Sco,2,14
AB_PLD_1,Sco,3,9
AB_PLD_2,P,1,19
AB_PLD_2,P,2,20
AB_PLD_2,P,3,21
AB_PLD_2,Sco,1,14
AB_PLD_2,Sco,2,17
AB_PLD_2,Sco,3,16
AB_PLD_3,P,2,12
AB_PLD_3,Sco,1,10
AB_PLD_3,Sco,2,10
AB_PLD_3,Sco,3,12
AB_PLD_4,P,1,19
AB_PLD_4,P,2,20
AB_PLD_4,P,3,14
AB_PLD_4,Sco,1,16
AB_PLD_5,P,1,10
AB_PLD_5,P,2,14
AB_PLD_5,P,3,8
AB_PLD_5,Sco,1,10
AB_PLD_5,Sco,2,15
AB_PLD_5,Sco,3,15
AB_PLD_6,P,1,10
AB_PLD_6,P,2,19
AB_PLD_6,P,3,16
AB_PLD_6,Sco,1,10
AB_PLD_6,Sco,2,18
AB_PLD_7,P,1,12
AB_PLD_7,P,2,11
AB_PLD_7,P,3,11
AB_PLD_7,Sco,1,13
AB_PLD_7,Sco,2,13
AB_PLD_8,P,1,17
AB_PLD_8,P,2,19
AB_PLD_8,P,3,18
AB_PLD_8,Sco,1,10
AB_PLD_8,Sco,2,14
AB_PLD_8,Sco,3,11
AC_PLD_1,P,1,10
AC_PLD_1,P,2,13
AC_PLD_1,P,3,15
AC_PLD_1,Sco,1,11
AC_PLD_1,Sco,2,7
AC_PLD_1,Sco,3,14
AC_PLD_2,P,1,14
AC_PLD_2,P,2,18
AC_PLD_2,P,3,14
AC_PLD_2,Sco,1,13
AC_PLD_2,Sco,2,16
AC_PLD_2,Sco,3,16
AC_PLD_3,P,1,7
AC_PLD_3,P,2,21
AC_PLD_3,Sco,1,12
AC_PLD_4,Sco,1,9
AC_PLD_4,Sco,2,8
AC_PLD_4,Sco,3,9
AC_PLD_5,P,2,11
AC_PLD_5,P,3,19
AC_PLD_5,Sco,1,10
AC_PLD_6,P,1,0
AC_PLD_6,P,2,7
AC_PLD_6,Sco,1,7
AC_PLD_6,Sco,2,9
AC_PLD_6,Sco,3,5
AC_PLD_7,P,1,7
AC_PLD_7,P,2,2
AC_PLD_7,Sco,1,11
AC_PLD_7,Sco,2,3
AC_PLD_7,Sco,3,7
AC_PLD_8,P,1,15
AC_PLD_8,P,2,18
AC_PLD_8,Sco,1,13
AC_PLD_8,Sco,3,12
AD_PLF_1,P,1,9
AD_PLF_1,P,2,4
AD_PLF_1,Sco,1,13
AD_PLF_10,P,1,14
AD_PLF_10,P,2,16
AD_PLF_10,P,3,19
AD_PLF_10,Sco,1,15
AD_PLF_10,Sco,2,15
AD_PLF_10,Sco,3,18
AD_PLF_11,P,1,8
AD_PLF_11,P,2,12
AD_PLF_11,P,3,12
AD_PLF_11,Sco,1,6
AD_PLF_11,Sco,2,11
AD_PLF_11,Sco,3,8
AD_PLF_12,P,1,3
AD_PLF_12,Sco,1,8
AD_PLF_12,Sco,2,10
AD_PLF_13,P,1,14
AD_PLF_13,P,2,5
AD_PLF_13,P,3,20
AD_PLF_13,Sco,1,16
AD_PLF_13,Sco,2,8
AD_PLF_13,Sco,3,23
AD_PLF_14,P,1,5
AD_PLF_14,P,2,8
AD_PLF_14,P,3,12
AD_PLF_14,Sco,1,14
AD_PLF_14,Sco,2,12
AD_PLF_14,Sco,3,14
AD_PLF_15,P,1,13
AD_PLF_15,P,2,15
AD_PLF_15,P,3,20
AD_PLF_15,Sco,1,10
AD_PLF_15,Sco,2,9
AD_PLF_15,Sco,3,19
AD_PLF_16,P,1,10
AD_PLF_16,P,2,13
AD_PLF_16,P,3,16
AD_PLF_16,Sco,1,10
AD_PLF_16,Sco,2,12
AD_PLF_16,Sco,3,11
AD_PLF_17,P,1,3
AD_PLF_17,P,2,10
AD_PLF_17,P,3,9
AD_PLF_17,Sco,1,7
AD_PLF_17,Sco,2,7
AD_PLF_17,Sco,3,8
AD_PLF_18,P,1,7
AD_PLF_18,P,2,15
AD_PLF_18,P,3,20
AD_PLF_18,Sco,1,18
AD_PLF_18,Sco,2,17
AD_PLF_18,Sco,3,23
AD_PLF_19,P,2,9
AD_PLF_19,P,3,12
AD_PLF_19,Sco,1,10
AD_PLF_19,Sco,2,7
AD_PLF_19,Sco,3,8
AD_PLF_2,P,1,8
AD_PLF_2,P,2,10
AD_PLF_2,P,3,19
AD_PLF_2,Sco,1,15
AD_PLF_2,Sco,2,12
AD_PLF_2,Sco,3,16
AD_PLF_20,P,1,3
AD_PLF_20,P,2,11
AD_PLF_20,P,3,15
AD_PLF_20,Sco,1,5
AD_PLF_20,Sco,2,10
AD_PLF_20,Sco,3,14
AD_PLF_21,P,1,14
AD_PLF_21,P,2,17
AD_PLF_21,P,3,15
AD_PLF_21,Sco,2,17
AD_PLF_21,Sco,3,20
AD_PLF_22,P,1,10
AD_PLF_22,P,2,9
AD_PLF_22,P,3,16
AD_PLF_22,Sco,1,11
AD_PLF_22,Sco,2,11
AD_PLF_22,Sco,3,13
AD_PLF_23,P,1,6
AD_PLF_23,Sco,1,5
AD_PLF_24,P,1,12
AD_PLF_24,P,2,9
AD_PLF_24,P,3,18
AD_PLF_24,Sco,1,8
AD_PLF_24,Sco,2,13
AD_PLF_24,Sco,3,14
AD_PLF_25,P,1,9
AD_PLF_25,P,2,13
AD_PLF_25,P,3,20
AD_PLF_25,Sco,1,13
AD_PLF_25,Sco,2,20
AD_PLF_25,Sco,3,22
AD_PLF_26,P,1,12
AD_PLF_26,P,2,8
AD_PLF_26,P,3,17
AD_PLF_26,Sco,1,11
AD_PLF_26,Sco,2,14
AD_PLF_26,Sco,3,21
AD_PLF_27,P,2,13
AD_PLF_27,Sco,3,18
AD_PLF_28,P,3,18
AD_PLF_3,P,1,3
AD_PLF_3,P,2,3
AD_PLF_3,Sco,1,5
AD_PLF_3,Sco,2,4
AD_PLF_4,P,1,9
AD_PLF_4,P,2,9
AD_PLF_4,P,3,9
AD_PLF_4,Sco,1,12
AD_PLF_4,Sco,2,13
AD_PLF_4,Sco,3,19
AD_PLF_6,P,1,5
AD_PLF_6,P,2,10
AD_PLF_6,P,3,9
AD_PLF_6,Sco,1,7
AD_PLF_6,Sco,2,9
AD_PLF_6,Sco,3,10
AD_PLF_7,P,1,9
AD_PLF_7,P,2,8
AD_PLF_7,Sco,1,10
AD_PLF_7,Sco,2,13
AD_PLF_8,P,1,12
AD_PLF_8,P,2,11
AD_PLF_8,P,3,17
AD_PLF_8,Sco,1,9
AD_PLF_8,Sco,2,11
AD_PLF_8,Sco,3,21
AD_PLF_9,P,1,4
AD_PLF_9,P,2,10
AD_PLF_9,P,3,12
AD_PLF_9,Sco,1,13
AD_PLF_9,Sco,2,10
AE_PLF_1,P,1,10
AE_PLF_1,P,2,6
AE_PLF_1,P,3,7
AE_PLF_1,Sco,1,9
AE_PLF_1,Sco,2,6
AE_PLF_1,Sco,3,10
AE_PLF_2,P,1,7
AE_PLF_2,P,2,12
AE_PLF_2,P,3,19
AE_PLF_2,Sco,2,14
AE_PLF_2,Sco,3,17
AE_PLF_4,P,1,11
AE_PLF_4,P,2,9
AE_PLF_4,Sco,1,13
AE_PLF_4,Sco,2,11
AE_PLF_4,Sco,3,13
AE_PLF_5,P,1,9
AE_PLF_5,P,2,7
AE_PLF_5,P,3,12
AE_PLF_5,Sco,1,9
AE_PLF_5,Sco,2,9
AE_PLF_5,Sco,3,12
AE_PLF_6,P,1,9
AE_PLF_6,P,2,9
AE_PLF_6,P,3,15
AE_PLF_6,Sco,1,6
AE_PLF_6,Sco,2,9
AE_PLF_6,Sco,3,13
AF_PLD_1,P,1,11
AF_PLD_1,P,2,10
AF_PLD_1,P,3,9
AF_PLD_1,Sco,1,9
AF_PLD_1,Sco,2,13
AF_PLD_1,Sco,3,10
AF_PLD_2,P,1,10
AF_PLD_2,P,2,13
AF_PLD_2,P,3,10
AF_PLD_2,Sco,1,13
AF_PLD_2,Sco,2,13
AF_PLD_2,Sco,3,11
AG_PLD_1,P,1,14
AG_PLD_1,Sco,1,8
AG_PLD_1,Sco,2,7
AG_PLD_2,P,2,11
AG_PLD_2,Sco,1,8
AG_PLD_2,Sco,3,9
AI_CP_10,P,1,13
AI_CP_10,P,2,19
AI_CP_10,P,3,17
AI_CP_11,P,1,20
AI_CP_11,P,3,22
AI_CP_12,P,1,19
AI_CP_12,P,2,22
AI_CP_12,P,3,22
AI_CP_14,P,2,14
AI_CP_14,P,3,21
AI_CP_15,P,1,10
AI_CP_15,P,2,15
AI_CP_15,P,3,20
AI_CP_16,P,1,19
AI_CP_16,P,2,15
AI_CP_16,P,3,21
AI_CP_17,P,1,21
AI_CP_17,P,2,23
AI_CP_17,P,3,23
AI_CP_19,P,2,22
AI_CP_19,P,3,23
AI_CP_2,P,1,20
AI_CP_2,P,2,23
AI_CP_2,P,3,23
AI_CP_3,P,2,21
AI_CP_3,P,3,18
AI_CP_4,P,1,17
AI_CP_4,P,2,21
AI_CP_4,P,3,18
AI_CP_5,P,1,19
AI_CP_5,P,2,20
AI_CP_5,P,3,20
AI_CP_6,P,1,12
AI_CP_6,P,2,18
AI_CP_6,P,3,17
AI_CP_7,P,1,13
AI_CP_7,P,2,16
AI_CP_7,P,3,22
AI_CP_8,P,1,13
AI_CP_8,P,2,22
AI_CP_8,P,3,20
AI_CP_9,P,1,12
AI_CP_9,P,2,20
AJ_CP_1,P,1,11
AJ_CP_1,P,2,15
AJ_CP_1,P,3,20
AJ_CP_10,P,1,11
AJ_CP_10,P,2,16
AJ_CP_10,P,3,13
AJ_CP_11,P,1,14
AJ_CP_11,P,2,10
AJ_CP_11,P,3,14
AJ_CP_12,P,2,14
AJ_CP_12,P,3,15
AJ_CP_13,P,1,11
AJ_CP_13,P,2,11
AJ_CP_13,P,3,15
AJ_CP_14,P,1,18
AJ_CP_14,P,2,18
AJ_CP_14,P,3,20
AJ_CP_15,P,1,13
AJ_CP_15,P,2,16
AJ_CP_15,P,3,20
AJ_CP_17,P,1,17
AJ_CP_17,P,2,22
AJ_CP_17,P,3,23
AJ_CP_18,P,1,18
AJ_CP_18,P,2,24
AJ_CP_18,P,3,24
AJ_CP_19,P,1,16
AJ_CP_19,P,2,12
AJ_CP_19,P,3,14
AJ_CP_2,P,1,12
AJ_CP_2,P,2,18
AJ_CP_2,P,3,19
AJ_CP_20,P,1,13
AJ_CP_20,P,2,15
AJ_CP_20,P,3,21
AJ_CP_21,P,1,19
AJ_CP_21,P,2,19
AJ_CP_21,P,3,21
AJ_CP_23,P,1,14
AJ_CP_23,P,2,15
AJ_CP_24,P,1,20
AJ_CP_24,P,2,20
AJ_CP_24,P,3,20
AJ_CP_3,P,1,14
AJ_CP_3,P,2,18
AJ_CP_3,P,3,18
AJ_CP_5,P,1,14
AJ_CP_5,P,2,18
AJ_CP_5,P,3,20
AJ_CP_7,P,1,19
AJ_CP_7,P,2,19
AJ_CP_7,P,3,21
AJ_CP_8,P,1,19
AJ_CP_8,P,2,21
AJ_CP_8,P,3,21
AK_CP_1,P,1,14
AK_CP_1,P,2,14
AK_CP_1,P,3,15
AK_CP_12,P,1,12
AK_CP_12,P,2,19
AK_CP_12,P,3,19
AK_CP_13,P,1,14
AK_CP_13,P,2,16
AK_CP_13,P,3,18
AK_CP_15,P,1,17
AK_CP_15,P,2,17
AK_CP_15,P,3,21
AK_CP_16,P,1,12
AK_CP_16,P,2,16
AK_CP_16,P,3,20
AK_CP_17,P,1,10
AK_CP_17,P,2,19
AK_CP_17,P,3,20
AK_CP_19,P,1,18
AK_CP_19,P,2,20
AK_CP_19,P,3,21
AK_CP_2,P,1,18
AK_CP_2,P,2,16
AK_CP_2,P,3,20
AK_CP_21,P,1,15
AK_CP_21,P,2,18
AK_CP_21,P,3,20
AK_CP_22,P,1,16
AK_CP_22,P,3,21
AK_CP_23,P,1,17
AK_CP_23,P,2,20
AK_CP_23,P,3,20
AK_CP_25,P,1,17
AK_CP_25,P,2,18
AK_CP_25,P,3,20
AK_CP_3,P,1,20
AK_CP_3,P,2,20
AK_CP_3,P,3,22
AK_CP_5,P,1,10
AK_CP_5,P,2,19
AK_CP_5,P,3,0
AK_CP_6,P,1,14
AK_CP_6,P,2,17
AK_CP_6,P,3,21
AK_CP_7,P,1,19
AK_CP_7,P,2,19
AK_CP_8,P,1,11
AK_CP_8,P,2,15
AK_CP_8,P,3,21
AK_CP_9,P,1,19
AK_CP_9,P,2,20
AK_CP_9,P,3,20
AL_CP_1,P,1,8
AL_CP_1,P,2,15
AL_CP_1,P,3,19
AL_CP_10,P,1,14
AL_CP_10,P,2,15
AL_CP_10,P,3,19
AL_CP_11,P,1,11
AL_CP_11,P,2,20
AL_CP_11,P,3,21
AL_CP_12,P,1,19
AL_CP_12,P,2,18
AL_CP_12,P,3,22
AL_CP_13,P,1,12
AL_CP_13,P,2,20
AL_CP_14,P,1,17
AL_CP_14,P,2,20
AL_CP_14,P,3,20
AL_CP_15,P,1,9
AL_CP_15,P,3,20
AL_CP_16,P,1,17
AL_CP_16,P,2,19
AL_CP_16,P,3,21
AL_CP_17,P,1,13
AL_CP_17,P,3,19
AL_CP_18,P,1,10
AL_CP_18,P,2,13
AL_CP_18,P,3,9
AL_CP_19,P,1,9
AL_CP_19,P,2,14
AL_CP_19,P,3,11
AL_CP_2,P,1,17
AL_CP_2,P,2,16
AL_CP_2,P,3,16
AL_CP_20,P,1,18
AL_CP_20,P,2,18
AL_CP_20,P,3,14
AL_CP_21,P,1,16
AL_CP_21,P,2,15
AL_CP_21,P,3,21
AL_CP_22,P,1,14
AL_CP_22,P,2,19
AL_CP_22,P,3,19
AL_CP_23,P,1,11
AL_CP_23,P,2,10
AL_CP_23,P,3,19
AL_CP_24,P,1,11
AL_CP_24,P,2,10
AL_CP_24,P,3,20
AL_CP_3,P,1,14
AL_CP_3,P,2,12
AL_CP_3,P,3,11
AL_CP_4,P,1,15
AL_CP_4,P,2,13
AL_CP_4,P,3,9
AL_CP_5,P,1,15
AL_CP_5,P,2,16
AL_CP_6,P,1,21
AL_CP_6,P,2,20
AL_CP_6,P,3,22
AL_CP_7,P,1,16
AL_CP_7,P,2,16
AL_CP_7,P,3,23
AL_CP_8,P,2,15
AL_CP_8,P,3,20
AL_CP_9,P,1,16
AL_CP_9,P,2,13
AL_CP_9,P,3,19
A_PLF_1,P,1,9
A_PLF_1,P,2,13
A_PLF_1,P,3,13
A_PLF_1,Sco,1,7
A_PLF_1,Sco,2,14
A_PLF_1,Sco,3,14
A_PLF_10,P,1,6
A_PLF_10,P,2,7
A_PLF_10,P,3,8
A_PLF_10,Sco,1,5
A_PLF_10,Sco,2,10
A_PLF_10,Sco,3,13
A_PLF_12,P,2,18
A_PLF_12,P,3,21
A_PLF_12,Sco,1,10
A_PLF_12,Sco,2,17
A_PLF_12,Sco,3,21
A_PLF_13,P,1,10
A_PLF_13,P,2,9
A_PLF_13,P,3,8
A_PLF_13,Sco,1,10
A_PLF_13,Sco,2,5
A_PLF_13,Sco,3,10
A_PLF_14,P,1,6
A_PLF_14,P,2,13
A_PLF_14,P,3,11
A_PLF_14,Sco,1,8
A_PLF_14,Sco,2,9
A_PLF_14,Sco,3,8
A_PLF_15,P,1,7
A_PLF_15,P,2,16
A_PLF_15,P,3,18
A_PLF_15,Sco,1,10
A_PLF_15,Sco,2,9
A_PLF_15,Sco,3,17
A_PLF_16,P,1,8
A_PLF_16,P,2,10
A_PLF_16,P,3,13
A_PLF_16,Sco,1,12
A_PLF_16,Sco,2,11
A_PLF_16,Sco,3,16
A_PLF_17,P,1,11
A_PLF_17,P,2,15
A_PLF_17,P,3,12
A_PLF_17,Sco,1,11
A_PLF_17,Sco,2,16
A_PLF_17,Sco,3,8
A_PLF_19,P,1,14
A_PLF_19,P,2,17
A_PLF_19,P,3,16
A_PLF_19,Sco,1,12
A_PLF_19,Sco,2,12
A_PLF_19,Sco,3,18
A_PLF_2,P,1,9
A_PLF_2,P,2,10
A_PLF_2,P,3,10
A_PLF_2,Sco,1,6
A_PLF_2,Sco,2,7
A_PLF_2,Sco,3,14
A_PLF_3,P,1,10
A_PLF_3,P,2,7
A_PLF_3,P,3,7
A_PLF_3,Sco,1,10
A_PLF_3,Sco,2,11
A_PLF_3,Sco,3,8
A_PLF_4,P,1,10
A_PLF_4,P,2,11
A_PLF_4,P,3,13
A_PLF_4,Sco,2,9
A_PLF_4,Sco,3,11
A_PLF_5,P,1,11
A_PLF_5,P,2,9
A_PLF_5,P,3,11
A_PLF_5,Sco,1,6
A_PLF_5,Sco,2,10
