VPNID,Language,Time,total_score_arg
P_CF_12,Sco,2,13
P_CF_12,Sco,3,18
P_CF_17,Sco,2,10
P_CF_17,Sco,3,16
P_CF_2,Sco,1,14
P_CF_2,Sco,2,9
P_CF_2,Sco,3,17
P_CF_3,Sco,1,11
P_CF_3,Sco,2,11
P_CF_3,Sco,3,14
P_CF_4,Sco,1,9
P_CF_4,Sco,2,14
P_CF_4,Sco,3,17
P_CF_5,Sco,1,14
P_CF_5,Sco,2,8
P_CF_6,Sco,1,8
P_CF_6,Sco,2,11
P_CF_6,Sco,3,16
P_CF_7,Sco,1,15
P_CF_7,Sco,2,13
P_CF_8,Sco,1,14
P_CF_8,Sco,2,13
P_CF_8,Sco,3,20
P_CF_9,Sco,1,22
P_CF_9,Sco,2,22
P_CF_9,Sco,3,24
Q_CF_10,Sco,1,8
Q_CF_10,Sco,2,7
Q_CF_10,Sco,3,14
Q_CF_11,Sco,1,6
Q_CF_11,Sco,2,10
Q_CF_11,Sco,3,13
Q_CF_14,Sco,1,15
Q_CF_14,Sco,2,13
Q_CF_14,Sco,3,19
Q_CF_15,Sco,1,17
Q_CF_15,Sco,2,18
Q_CF_15,Sco,3,17
Q_CF_17,Sco,1,5
Q_CF_17,Sco,2,6
Q_CF_17,Sco,3,15
Q_CF_2,Sco,1,18
Q_CF_2,Sco,2,18
Q_CF_2,Sco,3,20
Q_CF_3,Sco,1,20
Q_CF_3,Sco,2,20
Q_CF_3,Sco,3,19
Q_CF_4,Sco,1,2
Q_CF_4,Sco,2,4
Q_CF_5,Sco,1,14
Q_CF_5,Sco,2,16
Q_CF_5,Sco,3,16
Q_CF_6,Sco,1,10
Q_CF_6,Sco,2,16
Q_CF_6,Sco,3,18
Q_CF_7,Sco,1,12
Q_CF_7,Sco,2,21
Q_CF_7,Sco,3,22
Q_CF_8,Sco,1,16
Q_CF_8,Sco,2,14
Q_CF_8,Sco,3,22
Q_CF_9,Sco,1,16
Q_CF_9,Sco,2,21
Q_CF_9,Sco,3,20
R_CF_1,Sco,1,16
R_CF_1,Sco,2,20
R_CF_1,Sco,3,24
R_CF_11,Sco,1,16
R_CF_11,Sco,2,19
R_CF_11,Sco,3,19
R_CF_12,Sco,1,7
R_CF_12,Sco,3,14
R_CF_13,Sco,1,5
R_CF_13,Sco,2,17
R_CF_13,Sco,3,9
R_CF_14,Sco,1,7
R_CF_14,Sco,2,10
R_CF_14,Sco,3,17
R_CF_15,Sco,1,17
R_CF_15,Sco,2,20
R_CF_15,Sco,3,22
R_CF_16,Sco,1,13
R_CF_16,Sco,2,14
R_CF_16,Sco,3,16
R_CF_17,Sco,1,8
R_CF_17,Sco,2,9
R_CF_17,Sco,3,18
R_CF_2,Sco,1,8
R_CF_2,Sco,2,7
R_CF_2,Sco,3,6
R_CF_20,Sco,1,5
R_CF_20,Sco,2,15
R_CF_21,Sco,2,10
R_CF_21,Sco,3,15
R_CF_3,Sco,1,8
R_CF_3,Sco,2,11
R_CF_3,Sco,3,14
R_CF_4,Sco,1,13
R_CF_4,Sco,2,19
R_CF_4,Sco,3,20
R_CF_5,Sco,1,12
R_CF_5,Sco,2,9
R_CF_5,Sco,3,12
R_CF_6,Sco,1,16
R_CF_6,Sco,2,18
R_CF_6,Sco,3,19
R_CF_7,Sco,1,15
R_CF_7,Sco,2,13
R_CF_7,Sco,3,12
R_CF_8,Sco,1,17
R_CF_8,Sco,2,17
R_CF_8,Sco,3,20
R_CF_9,Sco,1,13
R_CF_9,Sco,2,11
S_CD_1,Sco,1,11
S_CD_1,Sco,2,12
S_CD_1,Sco,3,15
S_CD_10,Sco,1,11
S_CD_10,Sco,2,12
S_CD_10,Sco,3,14
S_CD_11,Sco,1,16
S_CD_11,Sco,2,19
S_CD_11,Sco,3,23
S_CD_12,Sco,1,7
S_CD_12,Sco,2,16
S_CD_12,Sco,3,17
S_CD_13,Sco,1,8
S_CD_13,Sco,2,17
S_CD_13,Sco,3,16
S_CD_14,Sco,1,8
S_CD_14,Sco,2,10
S_CD_14,Sco,3,19
S_CD_2,Sco,1,7
S_CD_2,Sco,2,6
S_CD_2,Sco,3,12
S_CD_3,Sco,1,8
S_CD_3,Sco,2,8
S_CD_3,Sco,3,8
S_CD_4,Sco,1,5
S_CD_4,Sco,2,11
S_CD_4,Sco,3,16
S_CD_5,Sco,1,9
S_CD_5,Sco,2,9
S_CD_5,Sco,3,18
S_CD_6,Sco,1,11
S_CD_6,Sco,2,15
S_CD_6,Sco,3,8
S_CD_7,Sco,1,13
S_CD_7,Sco,2,13
S_CD_7,Sco,3,17
S_CD_8,Sco,1,10
S_CD_8,Sco,2,11
S_CD_8,Sco,3,8
S_CD_9,Sco,1,7
S_CD_9,Sco,2,12
S_CD_9,Sco,3,8
T_CF_1,Sco,1,17
T_CF_1,Sco,2,17
T_CF_1,Sco,3,21
T_CF_10,Sco,1,8
T_CF_10,Sco,2,15
T_CF_10,Sco,3,19
T_CF_11,Sco,1,2
T_CF_11,Sco,2,9
T_CF_11,Sco,3,4
T_CF_13,Sco,1,8
T_CF_13,Sco,2,16
T_CF_13,Sco,3,19
T_CF_14,Sco,1,9
T_CF_15,Sco,1,11
T_CF_15,Sco,2,14
T_CF_15,Sco,3,20
T_CF_17,Sco,1,18
T_CF_17,Sco,2,19
T_CF_17,Sco,3,20
T_CF_18,Sco,1,6
T_CF_18,Sco,2,16
T_CF_18,Sco,3,19
T_CF_19,Sco,1,18
T_CF_19,Sco,2,19
T_CF_19,Sco,3,21
T_CF_2,Sco,1,14
T_CF_2,Sco,2,13
T_CF_2,Sco,3,17
T_CF_20,Sco,1,9
T_CF_20,Sco,2,12
T_CF_20,Sco,3,19
T_CF_21,Sco,1,17
T_CF_21,Sco,2,18
T_CF_3,Sco,1,9
T_CF_3,Sco,2,15
T_CF_3,Sco,3,19
T_CF_6,Sco,1,11
T_CF_6,Sco,2,14
T_CF_6,Sco,3,21
T_CF_7,Sco,1,7
T_CF_7,Sco,2,16
T_CF_8,Sco,1,13
T_CF_8,Sco,2,15
T_CF_9,Sco,1,12
T_CF_9,Sco,2,13
T_CF_9,Sco,3,19
U_CD_1,Sco,1,6
U_CD_1,Sco,2,12
U_CD_1,Sco,3,9
U_CD_10,Sco,1,11
U_CD_10,Sco,2,13
U_CD_10,Sco,3,17
U_CD_11,Sco,1,9
U_CD_11,Sco,2,18
U_CD_11,Sco,3,18
U_CD_12,Sco,1,11
U_CD_12,Sco,2,16
U_CD_12,Sco,3,6
U_CD_13,Sco,1,6
U_CD_13,Sco,2,11
U_CD_13,Sco,3,21
U_CD_14,Sco,1,11
U_CD_14,Sco,2,18
U_CD_14,Sco,3,12
U_CD_15,Sco,1,7
U_CD_15,Sco,2,17
U_CD_2,Sco,1,10
U_CD_2,Sco,2,14
U_CD_2,Sco,3,16
U_CD_3,Sco,1,3
U_CD_3,Sco,2,11
U_CD_3,Sco,3,8
U_CD_4,Sco,1,8
U_CD_4,Sco,2,13
U_CD_4,Sco,3,12
U_CD_5,Sco,1,12
U_CD_5,Sco,2,17
U_CD_5,Sco,3,15
U_CD_6,Sco,1,5
U_CD_6,Sco,2,14
U_CD_6,Sco,3,17
U_CD_7,Sco,1,11
U_CD_7,Sco,2,16
U_CD_7,Sco,3,18
U_CD_8,Sco,1,15
U_CD_8,Sco,2,18
U_CD_9,Sco,1,12
U_CD_9,Sco,2,17
U_CD_9,Sco,3,19
V_CD_1,Sco,2,11
V_CD_1,Sco,3,8
V_CD_10,Sco,1,12
V_CD_10,Sco,2,11
V_CD_10,Sco,3,15
V_CD_11,Sco,1,10
V_CD_11,Sco,2,15
V_CD_11,Sco,3,10
V_CD_12,Sco,1,16
V_CD_12,Sco,2,18
V_CD_12,Sco,3,15
V_CD_13,Sco,1,8
V_CD_13,Sco,2,14
V_CD_13,Sco,3,10
V_CD_14,Sco,1,10
V_CD_14,Sco,2,12
V_CD_14,Sco,3,12
V_CD_15,Sco,1,9
V_CD_15,Sco,2,10
V_CD_15,Sco,3,15
V_CD_16,Sco,1,12
V_CD_16,Sco,2,14
V_CD_16,Sco,3,16
V_CD_17,Sco,1,9
V_CD_17,Sco,2,13
V_CD_17,Sco,3,17
V_CD_18,Sco,1,13
V_CD_18,Sco,2,15
V_CD_18,Sco,3,17
V_CD_19,Sco,1,14
V_CD_19,Sco,2,17
V_CD_19,Sco,3,16
V_CD_2,Sco,1,7
V_CD_2,Sco,2,14
V_CD_2,Sco,3,9
V_CD_20,Sco,1,13
V_CD_20,Sco,2,16
V_CD_20,Sco,3,20
V_CD_21,Sco,1,12
V_CD_21,Sco,2,17
V_CD_21,Sco,3,14
V_CD_22,Sco,1,9
V_CD_22,Sco,2,10
V_CD_22,Sco,3,9
V_CD_23,Sco,1,14
V_CD_23,Sco,2,13
V_CD_23,Sco,3,16
V_CD_24,Sco,1,16
V_CD_24,Sco,2,17
V_CD_24,Sco,3,16
V_CD_25,Sco,1,15
V_CD_25,Sco,2,15
V_CD_26,Sco,1,11
V_CD_26,Sco,2,17
V_CD_26,Sco,3,17
V_CD_27,Sco,1,14
V_CD_27,Sco,2,15
V_CD_27,Sco,3,15
V_CD_28,Sco,1,9
V_CD_28,Sco,2,16
V_CD_28,Sco,3,16
V_CD_29,Sco,1,10
V_CD_29,Sco,2,10
V_CD_29,Sco,3,9
V_CD_3,Sco,1,9
V_CD_3,Sco,2,15
V_CD_3,Sco,3,9
V_CD_30,Sco,1,14
V_CD_30,Sco,2,11
V_CD_30,Sco,3,16
V_CD_31,Sco,1,11
V_CD_31,Sco,2,9
V_CD_31,Sco,3,8
V_CD_4,Sco,1,12
V_CD_4,Sco,2,15
V_CD_4,Sco,3,9
V_CD_5,Sco,1,11
V_CD_5,Sco,2,13
V_CD_5,Sco,3,15
V_CD_6,Sco,1,15
V_CD_6,Sco,2,18
V_CD_6,Sco,3,15
V_CD_7,Sco,1,11
V_CD_7,Sco,2,13
V_CD_7,Sco,3,13
V_CD_8,Sco,1,7
V_CD_8,Sco,2,19
V_CD_8,Sco,3,16
V_CD_9,Sco,1,16
V_CD_9,Sco,2,19
V_CD_9,Sco,3,17
W_CF_1,Sco,1,15
W_CF_1,Sco,2,15
W_CF_1,Sco,3,20
W_CF_10,Sco,1,4
W_CF_10,Sco,2,20
W_CF_10,Sco,3,19
W_CF_11,Sco,1,13
W_CF_11,Sco,3,18
W_CF_12,Sco,1,7
W_CF_12,Sco,2,14
W_CF_12,Sco,3,20
W_CF_13,Sco,1,19
W_CF_13,Sco,2,19
W_CF_13,Sco,3,21
W_CF_14,Sco,1,6
W_CF_14,Sco,2,7
W_CF_14,Sco,3,14
W_CF_15,Sco,1,10
W_CF_15,Sco,2,20
W_CF_15,Sco,3,20
W_CF_16,Sco,1,8
W_CF_16,Sco,2,19
W_CF_16,Sco,3,17
W_CF_17,Sco,1,8
W_CF_17,Sco,2,8
W_CF_17,Sco,3,18
W_CF_20,Sco,1,7
W_CF_20,Sco,2,11
W_CF_20,Sco,3,18
W_CF_21,Sco,1,0
W_CF_21,Sco,2,14
W_CF_22,Sco,2,15
W_CF_22,Sco,3,15
W_CF_3,Sco,1,20
W_CF_3,Sco,2,16
W_CF_3,Sco,3,20
W_CF_4,Sco,1,12
W_CF_4,Sco,2,12
W_CF_4,Sco,3,11
W_CF_5,Sco,1,2
W_CF_5,Sco,2,2
W_CF_5,Sco,3,9
W_CF_6,Sco,1,7
W_CF_6,Sco,2,21
W_CF_6,Sco,3,21
W_CF_7,Sco,1,13
W_CF_7,Sco,2,16
W_CF_7,Sco,3,21
W_CF_8,Sco,1,15
W_CF_8,Sco,3,17
W_CF_9,Sco,1,5
W_CF_9,Sco,2,4
W_CF_9,Sco,3,13
X_PND_1,P,1,13
X_PND_1,P,2,12
X_PND_1,P,3,16
X_PND_1,Sco,1,7
X_PND_1,Sco,2,8
X_PND_1,Sco,3,10
X_PND_2,P,1,8
X_PND_2,P,2,15
X_PND_2,P,3,19
X_PND_2,Sco,1,6
X_PND_2,Sco,2,13
X_PND_2,Sco,3,15
X_PND_3,P,1,7
X_PND_3,P,2,13
X_PND_3,P,3,17
X_PND_3,Sco,1,12
X_PND_3,Sco,2,16
X_PND_3,Sco,3,14
X_PND_4,P,1,14
X_PND_4,P,2,14
X_PND_4,P,3,14
X_PND_4,Sco,1,16
X_PND_4,Sco,2,12
X_PND_4,Sco,3,18
Y_PNF_1,P,1,13
Y_PNF_1,P,2,11
Y_PNF_1,P,3,14
Y_PNF_1,Sco,1,9
Y_PNF_1,Sco,2,13
Y_PNF_10,P,1,16
Y_PNF_10,P,3,18
Y_PNF_10,Sco,3,18
Y_PNF_11,P,1,10
Y_PNF_11,P,2,18
Y_PNF_11,Sco,1,15
Y_PNF_11,Sco,2,14
Y_PNF_12,P,1,13
Y_PNF_12,P,2,16
Y_PNF_12,P,3,20
Y_PNF_12,Sco,1,17
Y_PNF_12,Sco,2,12
Y_PNF_12,Sco,3,21
Y_PNF_13,P,1,13
Y_PNF_13,P,3,18
Y_PNF_13,Sco,2,8
Y_PNF_13,Sco,3,21
Y_PNF_14,P,1,11
Y_PNF_14,P,3,15
Y_PNF_14,Sco,1,11
Y_PNF_14,Sco,2,12
Y_PNF_14,Sco,3,18
Y_PNF_15,P,1,9
Y_PNF_15,P,2,7
Y_PNF_15,Sco,1,14
Y_PNF_15,Sco,2,10
Y_PNF_15,Sco,3,15
Y_PNF_16,P,1,15
Y_PNF_16,P,2,11
Y_PNF_16,P,3,12
Y_PNF_16,Sco,1,16
Y_PNF_16,Sco,2,12
Y_PNF_16,Sco,3,13
Y_PNF_17,P,1,11
Y_PNF_17,P,2,11
Y_PNF_17,P,3,18
Y_PNF_17,Sco,1,9
Y_PNF_17,Sco,2,13
Y_PNF_17,Sco,3,16
Y_PNF_18,P,1,3
Y_PNF_18,P,2,14
Y_PNF_18,P,3,14
Y_PNF_18,Sco,2,13
Y_PNF_18,Sco,3,12
Y_PNF_19,P,1,11
Y_PNF_19,P,2,12
Y_PNF_19,Sco,2,19
Y_PNF_2,P,1,13
Y_PNF_2,P,2,21
Y_PNF_2,P,3,17
Y_PNF_2,Sco,1,15
Y_PNF_2,Sco,2,21
Y_PNF_2,Sco,3,18
Y_PNF_20,P,1,4
Y_PNF_20,P,2,15
Y_PNF_20,P,3,16
Y_PNF_20,Sco,1,9
Y_PNF_20,Sco,2,14
Y_PNF_20,Sco,3,19
Y_PNF_21,P,1,12
Y_PNF_21,P,2,0
Y_PNF_22,P,1,2
Y_PNF_22,P,3,14
Y_PNF_22,Sco,1,6
Y_PNF_22,Sco,2,13
Y_PNF_22,Sco,3,14
Y_PNF_23,P,1,15
Y_PNF_23,P,3,14
Y_PNF_23,Sco,1,15
Y_PNF_23,Sco,2,21
Y_PNF_23,Sco,3,11
Y_PNF_24,P,1,15
Y_PNF_24,P,2,19
Y_PNF_24,P,3,20
Y_PNF_24,Sco,2,10
Y_PNF_24,Sco,3,18
Y_PNF_25,P,1,8
Y_PNF_25,P,2,9
Y_PNF_25,Sco,1,8
Y_PNF_25,Sco,2,13
Y_PNF_25,Sco,3,7
Y_PNF_26,P,1,7
Y_PNF_26,P,2,9
Y_PNF_26,P,3,16
Y_PNF_26,Sco,2,8
Y_PNF_26,Sco,3,13
Y_PNF_27,P,1,9
Y_PNF_27,P,2,13
Y_PNF_27,P,3,12
Y_PNF_27,Sco,1,12
Y_PNF_27,Sco,2,8
Y_PNF_27,Sco,3,12
Y_PNF_28,P,1,14
Y_PNF_28,P,2,12
Y_PNF_28,P,3,16
Y_PNF_28,Sco,1,8
Y_PNF_28,Sco,2,15
Y_PNF_28,Sco,3,16
Y_PNF_29,P,1,8
Y_PNF_29,P,2,0
Y_PNF_29,Sco,2,14
Y_PNF_29,Sco,3,7
Y_PNF_3,P,1,19
Y_PNF_3,P,2,20
Y_PNF_3,P,3,16
Y_PNF_3,Sco,1,15
Y_PNF_3,Sco,2,18
Y_PNF_3,Sco,3,14
Y_PNF_30,P,1,15
Y_PNF_30,Sco,1,15
Y_PNF_31,P,2,13
Y_PNF_31,P,3,13
Y_PNF_31,Sco,1,9
Y_PNF_31,Sco,2,9
Y_PNF_31,Sco,3,13
Y_PNF_32,P,2,17
Y_PNF_32,P,3,17
Y_PNF_32,Sco,1,12
Y_PNF_32,Sco,2,21
Y_PNF_32,Sco,3,20
Y_PNF_33,P,1,21
Y_PNF_33,P,2,17
Y_PNF_33,P,3,15
Y_PNF_33,Sco,1,10
Y_PNF_33,Sco,2,17
Y_PNF_33,Sco,3,19
Y_PNF_34,P,1,9
Y_PNF_34,P,2,11
Y_PNF_34,P,3,10
Y_PNF_34,Sco,1,9
Y_PNF_34,Sco,2,11
Y_PNF_34,Sco,3,13
Y_PNF_36,P,3,20
Y_PNF_36,Sco,1,9
Y_PNF_36,Sco,2,17
Y_PNF_36,Sco,3,17
Y_PNF_4,P,1,7
Y_PNF_4,P,2,8
Y_PNF_4,P,3,7
Y_PNF_4,Sco,1,11
Y_PNF_4,Sco,2,12
Y_PNF_4,Sco,3,13
Y_PNF_5,P,1,9
Y_PNF_5,P,2,9
Y_PNF_5,P,3,9
Y_PNF_5,Sco,1,12
Y_PNF_5,Sco,2,12
Y_PNF_5,Sco,3,13
Y_PNF_6,P,1,4
Y_PNF_6,P,2,8
Y_PNF_6,P,3,5
Y_PNF_6,Sco,1,10
Y_PNF_6,Sco,2,10
Y_PNF_6,Sco,3,8
Y_PNF_7,P,1,19
Y_PNF_7,P,2,16
Y_PNF_7,P,3,17
Y_PNF_7,Sco,1,16
Y_PNF_7,Sco,2,12
Y_PNF_7,Sco,3,12
Y_PNF_8,P,1,7
Y_PNF_8,P,2,5
Y_PNF_8,P,3,8
Y_PNF_8,Sco,1,13
Y_PNF_8,Sco,2,13
Y_PNF_8,Sco,3,9
Y_PNF_9,P,1,7
Y_PNF_9,P,2,11
Y_PNF_9,P,3,3
Y_PNF_9,Sco,1,15
Y_PNF_9,Sco,2,18
Y_PNF_9,Sco,3,18
Z_PLF_2,P,1,9
Z_PLF_2,P,2,11
Z_PLF_2,P,3,11
Z_PLF_2,Sco,1,8
Z_PLF_2,Sco,2,11
Z_PLF_2,Sco,3,17
Z_PLF_3,P,1,10
Z_PLF_3,P,2,7
Z_PLF_3,P,3,11
Z_PLF_3,Sco,1,13
Z_PLF_3,Sco,3,11
Z_PLF_4,P,1,13
Z_PLF_4,P,2,10
Z_PLF_4,P,3,15
Z_PLF_4,Sco,1,9
Z_PLF_4,Sco,3,18
Z_PLF_5,P,2,11
Z_PLF_5,P,3,15
Z_PLF_5,Sco,1,5
Z_PLF_5,Sco,2,9
Z_PLF_5,Sco,3,17
Z_PLF_6,P,2,13
Z_PLF_6,P,3,14
Z_PLF_6,Sco,1,7
Z_PLF_6,Sco,2,11
Z_PLF_6,Sco,3,17
Z_PLF_7,P,2,14
Z_PLF_7,P,3,18
Z_PLF_7,Sco,1,8
Z_PLF_7,Sco,2,14
Z_PLF_7,Sco,3,18
Z_PLF_8,P,2,13
Z_PLF_8,P,3,19
Z_PLF_8,Sco,1,9
Z_PLF_8,Sco,2,18
Z_PLF_8,Sco,3,19
